Mesures de geolocalisation - 28th-March-2022-17-15-49;;
Date de relevé;Latitude;Longitude
1632232451;43.93076;3.1008017
1632232752;43.930786;3.1007183
1632233052;43.93114;3.1000617
1632233352;43.931335;3.1002634
1632233652;43.93131;3.1003566
1632233952;43.931293;3.1002717
1632234252;43.931286;3.1003084
1632234552;43.9313;3.10029
1632234852;43.93128;3.1003416
1632235152;43.93128;3.1002634
1632235452;43.93127;3.1003
1632235752;43.931293;3.1003184
1632236052;43.93128;3.1002617
1632236352;43.931263;3.10027
1632236651;43.93112;3.10019
1632236951;43.930813;3.1008034
1632237251;43.93072;3.101065
-1;KO;KO
-1;KO;KO
-1;KO;KO
1632238451;43.931152;3.10034
1632238751;43.93117;3.1004217
1632239051;43.93118;3.100495
1632239351;43.931343;3.100965
1632239651;43.931328;3.1010966
1632239951;43.931362;3.1011817
1632240251;43.931347;3.1012282
1632240551;43.931374;3.1012866
1632240851;43.93142;3.10123
1632241151;43.931423;3.1010268
1632241451;43.93141;3.1009166
1632241751;43.93141;3.100495
1632242051;43.930927;3.0999966
1632242351;43.9309;3.1001318
1632242651;43.93066;3.1008017
1632242951;43.93042;3.1008384
1632243251;43.93035;3.1008632
1632243551;43.930347;3.100985
1632243851;43.93024;3.1011817
1632244151;43.93049;3.101395
1632244451;43.930622;3.10146
1632244751;43.930706;3.10147
1632245051;43.930927;3.10142
1632245351;43.93103;3.1013885
1632245651;43.931103;3.1012917
1632245951;43.931168;3.1011584
1632246251;43.931194;3.1009116
1632246551;43.931286;3.1006734
1632246851;43.931355;3.1005666
1632247151;43.93138;3.1004784
1632247451;43.93139;3.1003234
1632247751;43.93137;3.1002667
1632248051;43.931374;3.10029
1632248351;43.931374;3.1002934
1632248651;43.93141;3.1003268
1632248951;43.931507;3.1002784
1632249251;43.931503;3.100285
1632249551;43.931503;3.1002767
1632249851;43.93149;3.1002667
1632250151;43.9315;3.10027
1632250451;43.931503;3.1003017
1632250751;43.931496;3.1002667
1632251051;43.93149;3.1002617
1632251351;43.931503;3.1003
1632251651;43.931503;3.100285
1632251951;43.931522;3.1002984
1632252251;43.93146;3.1002717
1632252551;43.931484;3.1002784
1632252851;43.93152;3.10029
1632253151;43.9315;3.1002767
1632253451;43.93149;3.10029
1632253751;43.931473;3.1002867
1632254051;43.93145;3.1002517
1632254351;43.931366;3.1002634
1632254651;43.93145;3.100235
1632254951;43.931423;3.1002717
1632255251;43.931393;3.100285
1632255551;43.931408;3.1002533
1632255851;43.93145;3.1002467
1632256151;43.931404;3.1002867
1632256451;43.931396;3.1002917
1632256751;43.93139;3.1003034
1632257051;43.931396;3.100305
1632257351;43.93139;3.1003067
1632257651;43.931404;3.100295
1632257951;43.93136;3.10033
1632258251;43.931396;3.1003067
1632258551;43.931404;3.1002984
1632258851;43.93147;3.1002784
1632259151;43.931442;3.10021
1632259451;43.93144;3.1002016
1632259751;43.931442;3.1002133
1632260051;43.931465;3.1002283
1632260351;43.931458;3.1002016
1632260651;43.931454;3.1002383
1632260951;43.931446;3.10022
1632261251;43.931477;3.1001966
1632261551;43.931454;3.1002784
1632261851;43.93165;3.1006384
1632262151;43.93165;3.1009767
1632262451;43.93152;3.1010332
1632262751;43.931538;3.1009233
1632263051;43.931507;3.1007867
1632263351;43.931362;3.1007917
1632263651;43.93135;3.1007817
1632263951;43.931324;3.1011167
1632264251;43.931408;3.1011734
1632264551;43.93147;3.101145
1632264851;43.931477;3.100955
1632265151;43.931477;3.1003017
1632265451;43.931503;3.10029
1632265751;43.931484;3.1003118
1632266051;43.93147;3.1003118
1632266351;43.931522;3.1002884
1632266651;43.93152;3.1002917
1632266951;43.93151;3.10027
1632267251;43.931534;3.1002717
1632267551;43.93153;3.1002767
1632267851;43.93151;3.10026
1632268151;43.93152;3.1002817
1632268451;43.931526;3.1003034
-1;KO;KO
-1;KO;KO
1632269350;43.931545;3.1002984
1632269650;43.931538;3.10028
1632269950;43.931557;3.1002884
1632270250;43.931503;3.1003017
1632270550;43.931534;3.1002967
1632270850;43.931534;3.1003067
1632271150;43.931545;3.1002884
1632271450;43.93154;3.100265
1632271750;43.931507;3.1002767
1632272050;43.93153;3.1002684
1632272350;43.93148;3.1002684
1632272650;43.931557;3.100295
1632272950;43.931396;3.1002383
1632273250;43.931442;3.1001682
1632273550;43.93143;3.1001682
1632273850;43.931423;3.1002
1632274150;43.93144;3.1001601
1632274450;43.931408;3.100205
1632274750;43.931458;3.1001883
1632275050;43.93146;3.10026
1632275350;43.93146;3.1002517
1632275650;43.9315;3.1002567
1632275950;43.931454;3.1002967
1632276250;43.931507;3.100295
1632276550;43.93149;3.1002667
1632276850;43.931522;3.100265
1632277150;43.9315;3.1002734
1632277450;43.931507;3.1003
1632277750;43.931522;3.100275
1632278050;43.9315;3.1002984
1632278350;43.93154;3.1002367
1632278650;43.93154;3.10025
1632278950;43.93155;3.10025
1632279250;43.931526;3.1002817
1632279550;43.93153;3.1002784
1632279850;43.931534;3.1002634
1632280150;43.93151;3.100305
1632280450;43.931526;3.1003
1632280750;43.93151;3.10029
1632281050;43.931503;3.1003
1632281350;43.93152;3.1002984
1632281650;43.93153;3.1003
1632281950;43.93152;3.100295
1632282250;43.93153;3.1002967
1632282550;43.931534;3.1002934
1632282850;43.931522;3.100295
1632283150;43.93152;3.100295
1632283450;43.93152;3.1002867
1632283750;43.931526;3.100295
1632284050;43.931545;3.1003218
1632284350;43.931538;3.1003
1632284650;43.931538;3.1002884
1632284950;43.931503;3.1002717
1632285250;43.931522;3.1002684
1632285550;43.931534;3.10028
1632285850;43.93157;3.100305
1632286150;43.93155;3.1002917
1632286450;43.931557;3.10029
1632286750;43.931538;3.1002717
1632287050;43.931526;3.100235
1632287350;43.93154;3.1002533
1632287650;43.931267;3.1014466
1632287950;43.930817;3.10145
1632288250;43.930458;3.1006067
1632288550;43.93039;3.1006384
1632288850;43.930397;3.1006718
1632289150;43.930374;3.10078
1632289450;43.930367;3.1008732
1632289750;43.930355;3.1011467
1632290050;43.93047;3.10136
1632290350;43.930725;3.1015418
1632290650;43.93132;3.1017118
1632290950;43.931435;3.1018133
1632291250;43.931633;3.10157
1632291550;43.931526;3.1015284
1632291850;43.931465;3.1015418
1632292150;43.931442;3.1015518
1632292450;43.931343;3.101585
1632292750;43.931316;3.10157
1632293050;43.93128;3.1015766
1632293350;43.931263;3.1014583
1632293650;43.931255;3.1012383
1632293950;43.931103;3.10106
1632294250;43.930935;3.1002717
1632294550;43.93074;3.1002116
1632294850;43.93062;3.100315
1632295150;43.93052;3.10037
1632295450;43.930435;3.1003382
1632295750;43.93065;3.100585
1632296050;43.931587;3.1017
1632296350;43.931587;3.1016684
1632296650;43.931637;3.1014383
1632296950;43.93079;3.1007433
1632297250;43.930935;3.100365
1632297550;43.930874;3.1000366
1632297850;43.9308;3.099965
1632298150;43.930786;3.0999217
1632298450;43.93075;3.0999334
1632298750;43.93088;3.099975
1632299050;43.931187;3.1000733
1632299350;43.93116;3.1002316
1632299650;43.93117;3.1002533
1632299950;43.93134;3.1002617
1632300250;43.931313;3.1002984
1632300550;43.931343;3.10029
1632300850;43.93132;3.1002066
1632301150;43.931297;3.100245
1632301450;43.931293;3.1002233
1632301750;43.93104;3.100695
1632302050;43.931446;3.10144
1632302349;43.93136;3.101675
1632302649;43.931213;3.1015518
1632302949;43.931046;3.1014116
1632303249;43.931076;3.1013865
1632303549;43.931084;3.10144
1632303849;43.93101;3.10109
1632304149;43.931046;3.1006267
1632304449;43.931034;3.1005883
1632304749;43.931023;3.1006234
1632305049;43.931023;3.1005883
1632305349;43.93105;3.1005733
1632305649;43.930996;3.100625
1632305949;43.93105;3.1005833
1632306249;43.931053;3.1006184
1632306549;43.93101;3.100605
1632306849;43.93101;3.1007166
1632307149;43.930996;3.1005983
1632307449;43.931103;3.100595
1632307749;43.931103;3.1006434
1632308049;43.931084;3.100625
1632308349;43.931038;3.1006217
1632308649;43.93101;3.1006033
1632308949;43.931023;3.1006017
1632309249;43.931023;3.10056
1632309549;43.93102;3.1005566
1632309849;43.931038;3.100585
1632310149;43.93101;3.1005783
1632310449;43.931087;3.1005232
1632310749;43.931026;3.1006
1632311049;43.931038;3.1005833
1632311349;43.931004;3.1005282
1632311649;43.931095;3.1005716
1632311949;43.931023;3.1005683
1632312249;43.93115;3.1005483
1632312549;43.93104;3.1006334
1632312849;43.931038;3.100535
1632313149;43.93109;3.1005967
1632313449;43.931057;3.1005833
1632313749;43.931095;3.100565
1632314049;43.931038;3.1006184
1632314349;43.931004;3.1006634
1632314649;43.931015;3.1005867
1632314949;43.930984;3.100655
1632315249;43.930996;3.1006384
1632315549;43.93099;3.1006417
1632315849;43.931026;3.10062
1632316149;43.930984;3.1006434
1632316449;43.930992;3.100645
1632316749;43.931;3.10063
1632317049;43.930992;3.1006083
1632317349;43.93102;3.1006768
1632317649;43.93098;3.1006484
1632317949;43.931015;3.1006684
1632318249;43.931;3.10061
1632318549;43.931015;3.1006417
1632318849;43.93097;3.1005883
1632319149;43.931026;3.1006217
1632319449;43.930992;3.100675
1632319749;43.931057;3.1006517
1632320049;43.93099;3.1005833
1632320349;43.931038;3.1006851
1632320649;43.931;3.10062
1632320949;43.930943;3.1008184
1632321249;43.930897;3.1008434
1632321549;43.93094;3.1009116
1632321849;43.930832;3.100745
