Mesures de geolocalisation - 28th-March-2022-15-57-49;;
Date de relevé;Latitude;Longitude
1632232049;43.930794;3.1007266
1632232350;43.930744;3.1007483
1632232650;43.93087;3.1008568
1632232950;43.93088;3.1004333
1632233250;43.931343;3.1002567
1632233550;43.93127;3.1002517
1632233850;43.931267;3.1002634
1632234150;43.931305;3.1002784
1632234450;43.931297;3.1002967
1632234750;43.931305;3.1003351
1632235050;43.931305;3.100285
1632235350;43.93131;3.100305
1632235650;43.931286;3.1002183
1632235950;43.931313;3.1002166
1632236250;43.931236;3.1003067
-1;KO;KO
1632236849;43.930935;3.100525
1632237150;43.93068;3.1009767
1632237449;43.930767;3.10147
1632237749;43.930904;3.1015983
1632238049;43.931187;3.1005616
1632238349;43.931305;3.100655
1632238649;43.931293;3.1006882
1632238949;43.931355;3.1008368
1632239249;43.931335;3.1009266
1632239549;43.93131;3.100975
1632239849;43.931328;3.10113
1632240149;43.931267;3.1011567
1632240449;43.931286;3.101215
1632240749;43.931423;3.1012034
1632241049;43.93161;3.10105
1632241349;43.93166;3.1011066
1632241649;43.931488;3.1008582
1632241949;43.931465;3.1005282
1632242249;43.930832;3.1000433
1632242549;43.93063;3.1006818
1632242849;43.93047;3.1008615
1632243149;43.930412;3.1009717
1632243449;43.93037;3.1010716
1632243749;43.930264;3.1011283
1632244049;43.930374;3.1013966
1632244349;43.93056;3.1014867
1632244649;43.930706;3.10153
1632244949;43.930923;3.10147
1632245249;43.93112;3.101515
1632245549;43.93126;3.1014383
1632245849;43.931316;3.10137
1632246149;43.931236;3.100955
1632246449;43.931255;3.1008217
1632246749;43.931244;3.100645
1632247049;43.931187;3.1006517
1632247349;43.93125;3.10063
1632247649;43.93129;3.10065
1632247949;43.931496;3.10044
1632248249;43.93157;3.1004
1632248549;43.93168;3.10045
1632248849;43.931698;3.1004317
1632249149;43.931633;3.1002316
1632249449;43.931442;3.1001601
1632249749;43.931458;3.1001632
1632250049;43.931442;3.100175
1632250349;43.93145;3.100175
1632250649;43.93146;3.1001866
1632250949;43.931454;3.1001568
1632251249;43.931435;3.1001883
1632251549;43.93147;3.1001766
1632251849;43.931435;3.1002066
1632252149;43.931454;3.1002016
1632252449;43.93144;3.1002116
1632252749;43.931454;3.1001666
1632253049;43.931442;3.100185
1632253349;43.931446;3.1001782
1632253649;43.931427;3.1001832
1632253949;43.931408;3.100205
1632254249;43.931423;3.1002
1632254549;43.931435;3.1001983
1632254849;43.931507;3.1001983
1632255149;43.931427;3.100185
1632255449;43.931396;3.1001916
1632255749;43.931484;3.1002083
1632256049;43.931427;3.100205
1632256349;43.931396;3.1002066
1632256649;43.931393;3.1001732
1632256949;43.931393;3.1002033
1632257249;43.931396;3.10019
1632257549;43.931385;3.1001716
1632257849;43.931393;3.1002283
1632258149;43.93141;3.1001933
1632258449;43.93141;3.1001832
1632258749;43.931416;3.1001916
1632259049;43.931488;3.1002266
1632259349;43.93141;3.1002133
1632259649;43.93141;3.1001782
1632259949;43.931377;3.1001983
1632260249;43.931393;3.1002116
1632260549;43.93141;3.100195
1632260849;43.93148;3.1002533
1632261149;43.93145;3.1002467
1632261449;43.931538;3.10025
1632261749;43.931583;3.1002817
1632262049;43.931664;3.100895
1632262349;43.931583;3.1010983
1632262649;43.931557;3.1011434
1632262949;43.93152;3.101035
