Mesures de geolocalisation - 28th-March-2022-15-14-27;;
Date de relevé;Latitude;Longitude
1632232068;43.93071;3.1008267
1632232368;43.930725;3.1007566
1632232668;43.9308;3.1006982
1632232968;43.930836;3.1006882
1632233268;43.931328;3.10021
1632233568;43.93133;3.1002717
1632233868;43.931297;3.1002533
1632234168;43.931267;3.1002784
1632234468;43.931305;3.1002467
1632234768;43.93127;3.10028
1632235068;43.93133;3.1002567
1632235368;43.93131;3.1003084
1632235668;43.931293;3.1002333
1632235968;43.931293;3.10027
1632236268;43.93133;3.10029
1632236568;43.93132;3.1003
1632236868;43.9313;3.1002266
1632237168;43.93079;3.10077
1632237468;43.930824;3.101405
1632237768;43.931046;3.10143
1632238068;43.931213;3.1004584
1632238368;43.931267;3.1004066
1632238668;43.931335;3.100695
1632238968;43.93138;3.1007967
1632239268;43.93142;3.1008782
1632239568;43.93145;3.1010816
1632239868;43.931442;3.1011734
1632240168;43.931427;3.10126
1632240468;43.931423;3.1012483
1632240768;43.9314;3.1012433
-1;KO;KO
1632241367;43.931496;3.1009583
1632241667;43.93148;3.1008184
-1;KO;KO
1632242267;43.930836;3.1000166
1632242567;43.93071;3.1007333
1632242867;43.930496;3.10084
1632243167;43.93036;3.100885
1632243467;43.930325;3.1009533
1632243767;43.93027;3.1011417
1632244067;43.93045;3.1014266
1632244367;43.930614;3.10144
1632244667;43.93073;3.10139
1632244967;43.930927;3.10142
1632245267;43.931168;3.1015518
1632245567;43.931297;3.1014566
1632245867;43.931297;3.101375
1632246167;43.93127;3.1009867
1632246467;43.931293;3.1008067
1632246767;43.9314;3.1005533
1632247067;43.931454;3.100535
1632247367;43.93143;3.1003766
1632247667;43.931423;3.1003118
1632247967;43.93141;3.1002934
1632248267;43.931404;3.1002233
1632248567;43.931686;3.1004333
1632248867;43.931717;3.1004434
1632249167;43.93173;3.1003883
1632249467;43.931427;3.1002033
1632249767;43.93143;3.100185
1632250067;43.931442;3.100225
1632250367;43.931393;3.1002133
1632250667;43.93142;3.1001866
1632250967;43.931408;3.1002467
1632251267;43.93141;3.1002533
1632251567;43.931454;3.10026
1632251867;43.93146;3.1002567
1632252167;43.931484;3.1002667
1632252467;43.93147;3.100275
1632252767;43.93146;3.1002834
1632253067;43.931465;3.100275
1632253367;43.93147;3.1002533
1632253667;43.931454;3.1002667
1632253967;43.931458;3.1002784
1632254267;43.93144;3.1002767
1632254567;43.931446;3.1002784
1632254867;43.931526;3.10024
1632255167;43.93149;3.100365
1632255467;43.931396;3.100235
1632255767;43.931503;3.1002283
1632256067;43.931442;3.1001933
1632256367;43.93138;3.1001933
1632256667;43.931393;3.1002116
1632256967;43.931377;3.1002066
1632257267;43.93138;3.10024
1632257567;43.931396;3.1001933
1632257867;43.931366;3.1002233
1632258167;43.931393;3.10022
1632258467;43.931377;3.1002517
1632258767;43.931416;3.100275
1632259067;43.931416;3.1002967
1632259367;43.931374;3.1003017
1632259667;43.931377;3.100265
1632259967;43.931374;3.1002634
1632260267;43.93137;3.1002767
1632260567;43.93147;3.1003783
1632260867;43.931458;3.10034
1632261167;43.93152;3.1002533
1632261467;43.93153;3.1002584
1632261767;43.931606;3.10036
1632262067;43.931686;3.100775
1632262367;43.93165;3.1011384
1632262667;43.93161;3.1011534
1632262967;43.931526;3.1007867
1632263267;43.93136;3.10089
1632263567;43.93131;3.100895
1632263867;43.931293;3.10103
1632264167;43.931477;3.10109
1632264467;43.93149;3.1010516
1632264767;43.931637;3.100635
1632265067;43.93163;3.1004584
1632265367;43.931606;3.1004133
1632265667;43.93151;3.10039
1632265967;43.931446;3.1003666
1632266267;43.931446;3.1002834
1632266567;43.931435;3.100285
1632266867;43.93144;3.1002784
1632267167;43.93143;3.10028
1632267467;43.93145;3.1002617
