Mesures de geolocalisation - 28th-March-2022-17-52-54;;
Date de relevé;Latitude;Longitude
432289;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
432041;KO;KO
1625658857;KO;KO
1625659157;KO;KO
1625659457;KO;KO
1625659757;KO;KO
1625660057;43.918694;3.0942216
1625660357;43.918518;3.0941966
1625660657;43.918663;3.09415
1625660957;KO;KO
1625661257;43.91864;3.0942333
1625661557;43.918686;3.09422
1625661857;43.918648;3.0941901
1625662157;43.91865;3.094225
1625662457;43.918728;3.0941916
1625662757;43.918705;3.0942516
1625663057;43.918755;3.0942583
1625663357;43.918736;3.09427
1625663657;43.918724;3.0942717
1625663957;43.91872;3.0942633
1625664257;43.91876;3.0943117
1625664557;43.91871;3.0942616
1625664857;43.918766;3.0941966
1625665157;43.918743;3.0942383
1625665457;43.918774;3.0942233
1625665757;43.91876;3.0943
1625666057;43.918716;3.094245
1625666357;43.918716;3.0942633
1625666657;43.91875;3.0941217
1625666957;43.91875;3.094295
1625667257;43.91871;3.0942883
1625667557;43.91868;3.0942166
1625667856;43.918743;3.0942433
-1;KO;KO
1625668456;43.918743;3.0942383
1625668756;43.918777;3.09423
1625669056;43.918804;3.0941916
1625669356;43.91877;3.093975
1625669656;43.91874;3.0942366
1625669956;43.918804;3.0942934
1625670256;43.91872;3.0940166
1625670556;43.918705;3.0942016
1625670856;43.91874;3.0942533
1625671156;43.91878;3.0940132
1625671456;43.918743;3.0942867
1625671756;43.918682;3.0942116
1625672056;43.918724;3.0942667
1625672356;43.918705;3.0942366
1625672656;43.9187;3.09421
1625672956;43.91873;3.09422
1625673256;43.91819;3.09493
1625673556;KO;KO
1625673856;43.91852;3.0953867
1625674156;KO;KO
1625674456;KO;KO
1625674756;KO;KO
1625675056;KO;KO
1625675356;KO;KO
1625675656;KO;KO
1625675956;KO;KO
1625676256;KO;KO
1625676556;KO;KO
1625676856;KO;KO
1625677156;KO;KO
1625677456;KO;KO
1625677756;KO;KO
